"row_id","snapnum","M","_count_*_"
1,0,82,21781633
3,0,84,33099266
4,0,85,43976307
5,0,86,52817239
6,0,87,60257012
7,0,88,157630015
8,0,89,224328230
9,0,90,494689047
10,0,91,663591748
11,0,92,966520864
12,0,93,783909766
13,0,94,317426428
112,0,95,165845906
73,0,96,136237141
233,1,83,242968
269,1,87,6697740
149,1,93,335944674
72,1,94,476171938
14,1,95,663304237
15,1,96,408773522
74,1,97,272307161
113,1,98,191112353
18,1,99,39074368
2,2,83,728303
172,2,96,136259414
16,2,97,272287175
17,2,98,286697174
75,2,99,234462648
150,2,100,132063215
76,2,101,27042992
173,2,102,22136589
148,3,83,242356
114,3,99,117224824
19,3,100,198084398
20,3,101,216309186
21,3,102,88563502
174,3,103,53028522
200,3,104,14649064
270,4,101,27037344
77,4,102,110708994
22,4,103,106078792
78,4,104,73275180
115,4,105,35371105
151,5,103,17673681
23,5,104,58621237
24,5,105,82518751
25,5,106,38220078
152,5,107,7707029
116,6,106,57337306
26,6,107,61680770
79,6,108,25113049
234,7,107,7703724
27,7,108,37671843
80,7,109,30298356
175,7,110,8183192
28,8,109,20201342
29,8,110,32742885
81,8,111,16493039
201,8,112,5327097
30,9,111,16499915
31,9,112,21303526
32,9,113,10717853
153,9,114,6894585
117,10,113,10722293
33,10,114,10348809
34,10,115,8324002
35,10,116,4454595
176,10,117,1793245
118,11,115,5546529
119,11,116,6684681
36,11,117,3583867
82,11,119,578201
120,12,117,3585200
37,12,118,3600484
271,12,119,576982
202,12,120,461304
177,13,118,2881643
38,13,119,2306742
83,13,120,921432
41,13,122,292062
249,14,118,719886
121,14,119,1153080
122,14,120,1842517
179,14,121,1101403
250,14,122,292642
251,14,123,233418
178,15,119,1151466
154,15,120,920773
123,15,121,734458
124,15,122,877427
235,15,124,185088
39,16,120,462292
40,16,121,1466217
203,16,122,583924
42,16,123,465900
157,16,125,147519
155,17,121,367888
217,17,122,584962
85,17,123,700153
43,17,124,371388
272,17,127,91000
84,18,122,292029
125,18,123,699879
126,18,124,1110122
44,18,125,147435
47,18,128,72245
218,19,123,233839
252,19,125,147432
253,19,126,115926
48,19,129,56165
156,20,124,185545
86,20,125,1029151
87,20,126,346770
88,20,127,90318
220,20,129,55881
45,21,126,346892
46,21,127,362818
159,21,128,71707
236,21,130,43547
180,22,126,231197
127,22,127,361835
219,22,128,144984
273,22,129,56005
181,23,128,217018
128,23,129,112549
204,23,130,43280
92,23,131,34029
158,24,126,115789
89,24,128,215820
90,24,129,167185
50,24,131,68118
182,25,129,111614
49,25,130,130560
130,25,132,52221
91,26,130,216457
221,26,131,34027
237,26,132,26197
205,26,133,20279
129,27,131,169738
51,27,132,79075
93,27,133,40528
274,28,131,33712
254,28,132,26447
223,28,133,60631
183,29,132,52999
52,29,133,40878
53,29,134,45624
222,30,132,26168
184,30,133,40662
206,30,134,45804
54,30,135,11680
131,31,134,45381
132,31,135,34898
256,31,136,8727
185,32,134,15062
186,32,135,46253
187,32,136,8842
56,32,137,6604
94,33,135,11464
95,33,136,26596
96,33,137,6491
55,34,136,26554
134,34,137,26198
255,35,135,11575
133,35,136,17652
188,35,137,13004
57,35,138,18606
259,35,140,2376
160,36,137,6576
135,36,138,13750
258,36,139,3255
224,36,141,1604
257,37,137,6487
238,37,138,9353
58,37,139,9891
101,37,142,1081
97,38,138,4638
161,38,139,9928
59,38,140,7041
208,38,142,1169
98,39,139,9616
99,39,140,7081
100,39,141,3246
261,39,143,713
162,40,140,2371
136,40,141,1564
62,40,143,712
207,41,140,4625
189,41,141,1602
190,41,142,1202
210,41,144,445
60,42,141,3303
225,42,142,2309
164,42,143,1429
241,42,144,437
260,43,141,3309
61,43,142,2228
102,43,143,1435
262,43,144,430
64,43,145,296
239,44,141,1618
163,44,142,2274
139,44,144,412
276,44,145,351
137,45,142,1101
209,45,143,1411
191,45,144,429
192,45,145,622
138,46,143,719
275,46,144,416
242,46,145,304
141,46,146,199
240,47,143,716
103,47,144,1434
140,47,145,961
243,47,146,230
104,48,145,605
166,48,147,119
63,49,144,456
65,49,146,221
227,49,147,117
279,49,148,44
105,50,146,401
66,50,147,145
229,50,149,33
263,51,146,192
194,51,147,114
280,51,149,32
165,52,146,188
211,52,147,128
144,52,149,32
226,53,146,179
278,53,147,113
108,53,149,36
212,54,148,57
168,55,149,31
107,56,148,51
277,57,146,172
68,57,149,32
193,58,146,203
106,58,147,130
67,58,148,60
142,59,147,242
167,60,148,53
109,60,150,22
169,62,150,18
228,63,148,44
197,63,150,17
264,64,147,125
214,65,150,18
244,66,148,57
143,67,148,64
230,67,150,28
265,68,148,49
281,68,150,26
195,71,148,48
266,72,150,16
245,74,149,26
246,75,150,26
196,76,149,33
170,76,151,13
247,77,151,9
213,78,149,50
110,78,151,9
146,79,151,16
70,81,151,10
199,83,152,3
171,84,152,3
268,85,152,6
231,87,151,7
69,89,150,19
145,90,150,16
282,93,151,6
232,94,152,3
111,95,152,1
215,96,151,10
198,98,151,8
147,98,152,4
267,100,151,10
248,107,152,4
71,110,152,1
216,113,152,2
